timeindex,BB_load_profile,BB_pv_utility_profile,BB_wind_profile,BB_pv_distributed_profile
2014-01-01 00:00:00+00:00,9.55E-05,0,0.591,0
2014-01-01 01:00:00+00:00,9.203E-05,0,0.551,0
2014-01-01 02:00:00+00:00,9.175E-05,0,0.531,0
2014-01-01 03:00:00+00:00,8.931E-05,0,0.538,0
2014-01-01 04:00:00+00:00,8.734E-05,0,0.593,0
2014-01-01 05:00:00+00:00,8.922E-05,0,0.663,0
2014-01-01 06:00:00+00:00,8.828E-05,0,0.707,0
2014-01-01 07:00:00+00:00,9.963E-05,0.022,0.727,0.022
2014-01-01 08:00:00+00:00,0.00011032,0.241,0.782,0.241
2014-01-01 09:00:00+00:00,0.00011548,0.444,0.84,0.444
2014-01-01 10:00:00+00:00,0.00011783,0.595,0.88,0.595
2014-01-01 11:00:00+00:00,0.00011717,0.681,0.904,0.681
2014-01-01 12:00:00+00:00,0.00011698,0.716,0.914,0.716
2014-01-01 13:00:00+00:00,0.00011567,0.696,0.911,0.696
2014-01-01 14:00:00+00:00,0.00011408,0.671,0.903,0.671
2014-01-01 15:00:00+00:00,0.00011182,0.577,0.889,0.577
2014-01-01 16:00:00+00:00,0.0001091,0.415,0.872,0.415
2014-01-01 17:00:00+00:00,0.00011004,0.213,0.859,0.213
2014-01-01 18:00:00+00:00,0.00012421,0.014,0.853,0.014
2014-01-01 19:00:00+00:00,0.00012327,0,0.858,0
2014-01-01 20:00:00+00:00,0.00011858,0,0.866,0
2014-01-01 21:00:00+00:00,0.00011107,0,0.868,0
2014-01-01 22:00:00+00:00,0.00010732,0,0.871,0
2014-01-01 23:00:00+00:00,0.00010104,0,0.874,0
2014-01-02 00:00:00+00:00,9.55E-05,0,0.876,0
2014-01-02 01:00:00+00:00,9.203E-05,0,0.876,0
2014-01-02 02:00:00+00:00,9.175E-05,0,0.871,0
2014-01-02 03:00:00+00:00,8.931E-05,0,0.858,0
2014-01-02 04:00:00+00:00,8.734E-05,0,0.846,0
2014-01-02 05:00:00+00:00,8.922E-05,0,0.841,0
2014-01-02 06:00:00+00:00,8.828E-05,0,0.844,0
2014-01-02 07:00:00+00:00,9.963E-05,0.024,0.851,0.024
2014-01-02 08:00:00+00:00,0.00011032,0.265,0.87,0.265
2014-01-02 09:00:00+00:00,0.00011548,0.471,0.888,0.471
2014-01-02 10:00:00+00:00,0.00011783,0.618,0.896,0.618
2014-01-02 11:00:00+00:00,0.00011717,0.709,0.892,0.709
2014-01-02 12:00:00+00:00,0.00011698,0.753,0.879,0.753
2014-01-02 13:00:00+00:00,0.00011567,0.754,0.857,0.754
2014-01-02 14:00:00+00:00,0.00011408,0.708,0.824,0.708
2014-01-02 15:00:00+00:00,0.00011182,0.613,0.784,0.613
2014-01-02 16:00:00+00:00,0.0001091,0.462,0.746,0.462
2014-01-02 17:00:00+00:00,0.00011004,0.247,0.715,0.247
2014-01-02 18:00:00+00:00,0.00012421,0.018,0.704,0.018
2014-01-02 19:00:00+00:00,0.00012327,0,0.706,0
2014-01-02 20:00:00+00:00,0.00011858,0,0.697,0
2014-01-02 21:00:00+00:00,0.00011107,0,0.689,0
2014-01-02 22:00:00+00:00,0.00010732,0,0.683,0
2014-01-02 23:00:00+00:00,0.00010104,0,0.678,0
2014-01-03 00:00:00+00:00,9.55E-05,0,0.672,0
2014-01-03 01:00:00+00:00,9.203E-05,0,0.667,0
2014-01-03 02:00:00+00:00,9.175E-05,0,0.657,0
2014-01-03 03:00:00+00:00,8.931E-05,0,0.631,0
2014-01-03 04:00:00+00:00,8.734E-05,0,0.591,0
2014-01-03 05:00:00+00:00,8.922E-05,0,0.551,0
2014-01-03 06:00:00+00:00,8.828E-05,0,0.531,0
2014-01-03 07:00:00+00:00,9.963E-05,0.027,0.538,0.027
2014-01-03 08:00:00+00:00,0.00011032,0.26,0.593,0.26
2014-01-03 09:00:00+00:00,0.00011548,0.485,0.663,0.485
2014-01-03 10:00:00+00:00,0.00011783,0.623,0.707,0.623
2014-01-03 11:00:00+00:00,0.00011717,0.726,0.727,0.726
2014-01-03 12:00:00+00:00,0.00011698,0.77,0.734,0.77
2014-01-03 13:00:00+00:00,0.00011567,0.762,0.744,0.762
2014-01-03 14:00:00+00:00,0.00011408,0.705,0.753,0.705
2014-01-03 15:00:00+00:00,0.00011182,0.607,0.766,0.607
2014-01-03 16:00:00+00:00,0.0001091,0.472,0.78,0.472
2014-01-03 17:00:00+00:00,0.00011004,0.263,0.789,0.263
2014-01-03 18:00:00+00:00,0.00012421,0.021,0.793,0.021
2014-01-03 19:00:00+00:00,0.00012327,0,0.796,0
2014-01-03 20:00:00+00:00,0.00011858,0,0.795,0
2014-01-03 21:00:00+00:00,0.00011107,0,0.797,0
2014-01-03 22:00:00+00:00,0.00010732,0,0.8,0
2014-01-03 23:00:00+00:00,0.00010104,0,0.801,0
2014-01-04 00:00:00+00:00,9.325E-05,0,0.799,0
2014-01-04 01:00:00+00:00,9.128E-05,0,0.796,0
2014-01-04 02:00:00+00:00,8.8E-05,0,0.795,0
2014-01-04 03:00:00+00:00,8.8E-05,0,0.791,0
2014-01-04 04:00:00+00:00,9.043E-05,0,0.78,0
2014-01-04 05:00:00+00:00,9.907E-05,0,0.772,0
2014-01-04 06:00:00+00:00,0.00010535,0,0.768,0
2014-01-04 07:00:00+00:00,0.00011867,0.034,0.762,0.034
2014-01-04 08:00:00+00:00,0.00013059,0.304,0.765,0.304
2014-01-04 09:00:00+00:00,0.00013621,0.507,0.784,0.507
2014-01-04 10:00:00+00:00,0.00013809,0.65,0.806,0.65
2014-01-04 11:00:00+00:00,0.00013903,0.742,0.812,0.742
2014-01-04 12:00:00+00:00,0.00013903,0.786,0.813,0.786
2014-01-04 13:00:00+00:00,0.00014044,0.782,0.812,0.782
2014-01-04 14:00:00+00:00,0.00013715,0.731,0.819,0.731
2014-01-04 15:00:00+00:00,0.0001334,0.633,0.827,0.633
2014-01-04 16:00:00+00:00,0.00012393,0.478,0.83,0.478
2014-01-04 17:00:00+00:00,0.00012017,0.263,0.829,0.263
2014-01-04 18:00:00+00:00,0.00013321,0.022,0.826,0.022
2014-01-04 19:00:00+00:00,0.00013106,0,0.829,0
2014-01-04 20:00:00+00:00,0.00012449,0,0.844,0
2014-01-04 21:00:00+00:00,0.00011558,0,0.861,0
2014-01-04 22:00:00+00:00,0.00010573,0,0.872,0
2014-01-04 23:00:00+00:00,0.00010057,0,0.873,0
2014-01-05 00:00:00+00:00,9.325E-05,0,0.869,0
2014-01-05 01:00:00+00:00,9.128E-05,0,0.862,0
2014-01-05 02:00:00+00:00,8.8E-05,0,0.843,0
2014-01-05 03:00:00+00:00,8.8E-05,0,0.798,0
2014-01-05 04:00:00+00:00,9.043E-05,0,0.733,0
2014-01-05 05:00:00+00:00,9.907E-05,0,0.678,0
2014-01-05 06:00:00+00:00,0.00010535,0,0.656,0
2014-01-05 07:00:00+00:00,0.00011867,0.022,0.658,0.022
2014-01-05 08:00:00+00:00,0.00013059,0.259,0.684,0.259
2014-01-05 09:00:00+00:00,0.00013621,0.465,0.726,0.465
2014-01-05 10:00:00+00:00,0.00013809,0.616,0.755,0.616
2014-01-05 11:00:00+00:00,0.00013903,0.711,0.763,0.711
2014-01-05 12:00:00+00:00,0.00013903,0.75,0.761,0.75
2014-01-05 13:00:00+00:00,0.00014044,0.747,0.744,0.747
2014-01-05 14:00:00+00:00,0.00013715,0.693,0.726,0.693
2014-01-05 15:00:00+00:00,0.0001334,0.59,0.718,0.59
2014-01-05 16:00:00+00:00,0.00012393,0.44,0.703,0.44
2014-01-05 17:00:00+00:00,0.00012017,0.219,0.702,0.219
2014-01-05 18:00:00+00:00,0.00013321,0.017,0.719,0.017
2014-01-05 19:00:00+00:00,0.00013106,0,0.741,0
2014-01-05 20:00:00+00:00,0.00012449,0,0.749,0
2014-01-05 21:00:00+00:00,0.00011558,0,0.758,0
2014-01-05 22:00:00+00:00,0.00010573,0,0.778,0
2014-01-05 23:00:00+00:00,0.00010057,0,0.785,0
2014-01-06 00:00:00+00:00,9.325E-05,0,0.768,0
2014-01-06 01:00:00+00:00,9.128E-05,0,0.734,0
2014-01-06 02:00:00+00:00,8.8E-05,0,0.701,0
2014-01-06 03:00:00+00:00,8.8E-05,0,0.676,0
2014-01-06 04:00:00+00:00,9.043E-05,0,0.646,0
2014-01-06 05:00:00+00:00,9.907E-05,0,0.604,0
2014-01-06 06:00:00+00:00,0.00010535,0,0.59,0
2014-01-06 07:00:00+00:00,0.00011867,0.025,0.574,0.025
2014-01-06 08:00:00+00:00,0.00013059,0.256,0.553,0.256
2014-01-06 09:00:00+00:00,0.00013621,0.474,0.592,0.474
2014-01-06 10:00:00+00:00,0.00013809,0.613,0.657,0.613
2014-01-06 11:00:00+00:00,0.00013903,0.703,0.713,0.703
2014-01-06 12:00:00+00:00,0.00013903,0.745,0.752,0.745
2014-01-06 13:00:00+00:00,0.00014044,0.742,0.772,0.742
2014-01-06 14:00:00+00:00,0.00013715,0.695,0.8,0.695
2014-01-06 15:00:00+00:00,0.0001334,0.602,0.825,0.602
2014-01-06 16:00:00+00:00,0.00012393,0.444,0.835,0.444
2014-01-06 17:00:00+00:00,0.00012017,0.234,0.84,0.234
2014-01-06 18:00:00+00:00,0.00013321,0.017,0.844,0.017
2014-01-06 19:00:00+00:00,0.00013106,0,0.839,0
2014-01-06 20:00:00+00:00,0.00012449,0,0.831,0
2014-01-06 21:00:00+00:00,0.00011558,0,0.82,0
2014-01-06 22:00:00+00:00,0.00010573,0,0.805,0
2014-01-06 23:00:00+00:00,0.00010057,0,0.814,0
2014-01-07 00:00:00+00:00,9.325E-05,0,0.832,0
2014-01-07 01:00:00+00:00,9.128E-05,0,0.846,0
2014-01-07 02:00:00+00:00,8.8E-05,0,0.842,0
2014-01-07 03:00:00+00:00,8.8E-05,0,0.825,0
2014-01-07 04:00:00+00:00,9.043E-05,0,0.805,0
2014-01-07 05:00:00+00:00,9.907E-05,0,0.786,0
2014-01-07 06:00:00+00:00,0.00010535,0,0.772,0
2014-01-07 07:00:00+00:00,0.00011867,0.015,0.764,0.015
2014-01-07 08:00:00+00:00,0.00013059,0.223,0.786,0.223
2014-01-07 09:00:00+00:00,0.00013621,0.472,0.823,0.472
2014-01-07 10:00:00+00:00,0.00013809,0.621,0.851,0.621
2014-01-07 11:00:00+00:00,0.00013903,0.716,0.872,0.716
2014-01-07 12:00:00+00:00,0.00013903,0.763,0.885,0.763
2014-01-07 13:00:00+00:00,0.00014044,0.762,0.894,0.762
2014-01-07 14:00:00+00:00,0.00013715,0.717,0.899,0.717
2014-01-07 15:00:00+00:00,0.0001334,0.618,0.901,0.618
2014-01-07 16:00:00+00:00,0.00012393,0.466,0.899,0.466
2014-01-07 17:00:00+00:00,0.00012017,0.255,0.895,0.255
2014-01-07 18:00:00+00:00,0.00013321,0.022,0.888,0.022
2014-01-07 19:00:00+00:00,0.00013106,0,0.88,0
2014-01-07 20:00:00+00:00,0.00012449,0,0.863,0
2014-01-07 21:00:00+00:00,0.00011558,0,0.85,0
2014-01-07 22:00:00+00:00,0.00010573,0,0.831,0
2014-01-07 23:00:00+00:00,0.00010057,0,0.811,0
2014-01-08 00:00:00+00:00,9.325E-05,0,0.791,0
2014-01-08 01:00:00+00:00,9.128E-05,0,0.771,0
2014-01-08 02:00:00+00:00,8.8E-05,0,0.759,0
2014-01-08 03:00:00+00:00,8.8E-05,0,0.737,0
2014-01-08 04:00:00+00:00,9.043E-05,0,0.704,0
2014-01-08 05:00:00+00:00,9.907E-05,0,0.667,0
2014-01-08 06:00:00+00:00,0.00010535,0,0.652,0
2014-01-08 07:00:00+00:00,0.00011867,0.031,0.698,0.031
2014-01-08 08:00:00+00:00,0.00013059,0.279,0.803,0.279
2014-01-08 09:00:00+00:00,0.00013621,0.5,0.894,0.5
2014-01-08 10:00:00+00:00,0.00013809,0.632,0.931,0.632
2014-01-08 11:00:00+00:00,0.00013903,0.679,0.926,0.679
2014-01-08 12:00:00+00:00,0.00013903,0.718,0.911,0.718
2014-01-08 13:00:00+00:00,0.00014044,0.678,0.902,0.678
2014-01-08 14:00:00+00:00,0.00013715,0.685,0.901,0.685
2014-01-08 15:00:00+00:00,0.0001334,0.598,0.906,0.598
2014-01-08 16:00:00+00:00,0.00012393,0.42,0.912,0.42
2014-01-08 17:00:00+00:00,0.00012017,0.154,0.917,0.154
2014-01-08 18:00:00+00:00,0.00013321,0.006,0.924,0.006
2014-01-08 19:00:00+00:00,0.00013106,0,0.928,0
2014-01-08 20:00:00+00:00,0.00012449,0,0.918,0
2014-01-08 21:00:00+00:00,0.00011558,0,0.897,0
2014-01-08 22:00:00+00:00,0.00010573,0,0.872,0
2014-01-08 23:00:00+00:00,0.00010057,0,0.839,0
2014-01-09 00:00:00+00:00,9.55E-05,0,0.779,0
2014-01-09 01:00:00+00:00,9.203E-05,0,0.725,0
2014-01-09 02:00:00+00:00,9.175E-05,0,0.689,0
2014-01-09 03:00:00+00:00,8.931E-05,0,0.649,0
2014-01-09 04:00:00+00:00,8.734E-05,0,0.618,0
2014-01-09 05:00:00+00:00,8.922E-05,0,0.61,0
2014-01-09 06:00:00+00:00,8.828E-05,0,0.618,0
2014-01-09 07:00:00+00:00,9.963E-05,0.026,0.635,0.026
2014-01-09 08:00:00+00:00,0.00011032,0.259,0.657,0.259
2014-01-09 09:00:00+00:00,0.00011548,0.492,0.694,0.492
2014-01-09 10:00:00+00:00,0.00011783,0.629,0.735,0.629
2014-01-09 11:00:00+00:00,0.00011717,0.717,0.766,0.717
2014-01-09 12:00:00+00:00,0.00011698,0.756,0.778,0.756
2014-01-09 13:00:00+00:00,0.00011567,0.748,0.777,0.748
2014-01-09 14:00:00+00:00,0.00011408,0.69,0.786,0.69
2014-01-09 15:00:00+00:00,0.00011182,0.566,0.794,0.566
2014-01-09 16:00:00+00:00,0.0001091,0.312,0.796,0.312
2014-01-09 17:00:00+00:00,0.00011004,0.128,0.803,0.128
2014-01-09 18:00:00+00:00,0.00012421,0.008,0.819,0.008
2014-01-09 19:00:00+00:00,0.00012327,0,0.829,0
2014-01-09 20:00:00+00:00,0.00011858,0,0.831,0
2014-01-09 21:00:00+00:00,0.00011107,0,0.843,0
2014-01-09 22:00:00+00:00,0.00010732,0,0.863,0
2014-01-09 23:00:00+00:00,0.00010104,0,0.883,0
2014-01-10 00:00:00+00:00,9.55E-05,0,0.886,0
2014-01-10 01:00:00+00:00,9.203E-05,0,0.869,0
2014-01-10 02:00:00+00:00,9.175E-05,0,0.827,0
2014-01-10 03:00:00+00:00,8.931E-05,0,0.765,0
2014-01-10 04:00:00+00:00,8.734E-05,0,0.704,0
2014-01-10 05:00:00+00:00,8.922E-05,0,0.652,0
2014-01-10 06:00:00+00:00,8.828E-05,0,0.624,0
2014-01-10 07:00:00+00:00,9.963E-05,0.011,0.606,0.011
2014-01-10 08:00:00+00:00,0.00011032,0.132,0.618,0.132
2014-01-10 09:00:00+00:00,0.00011548,0.301,0.655,0.301
2014-01-10 10:00:00+00:00,0.00011783,0.487,0.707,0.487
2014-01-10 11:00:00+00:00,0.00011717,0.613,0.754,0.613
2014-01-10 12:00:00+00:00,0.00011698,0.646,0.793,0.646
2014-01-10 13:00:00+00:00,0.00011567,0.662,0.819,0.662
2014-01-10 14:00:00+00:00,0.00011408,0.605,0.833,0.605
2014-01-10 15:00:00+00:00,0.00011182,0.501,0.837,0.501
2014-01-10 16:00:00+00:00,0.0001091,0.384,0.833,0.384
2014-01-10 17:00:00+00:00,0.00011004,0.209,0.825,0.209
2014-01-10 18:00:00+00:00,0.00012421,0.015,0.822,0.015
2014-01-10 19:00:00+00:00,0.00012327,0,0.831,0
2014-01-10 20:00:00+00:00,0.00011858,0,0.835,0
2014-01-10 21:00:00+00:00,0.00011107,0,0.84,0
2014-01-10 22:00:00+00:00,0.00010732,0,0.847,0
2014-01-10 23:00:00+00:00,0.00010104,0,0.855,0
2014-01-11 00:00:00+00:00,9.325E-05,0,0.857,0
2014-01-11 01:00:00+00:00,9.128E-05,0,0.853,0
2014-01-11 02:00:00+00:00,8.8E-05,0,0.837,0
2014-01-11 03:00:00+00:00,8.8E-05,0,0.806,0
2014-01-11 04:00:00+00:00,9.043E-05,0,0.771,0
2014-01-11 05:00:00+00:00,9.907E-05,0,0.746,0
2014-01-11 06:00:00+00:00,0.00010535,0,0.734,0
2014-01-11 07:00:00+00:00,0.00011867,0.034,0.737,0.034
2014-01-11 08:00:00+00:00,0.00013059,0.298,0.761,0.298
2014-01-11 09:00:00+00:00,0.00013621,0.496,0.791,0.496
2014-01-11 10:00:00+00:00,0.00013809,0.639,0.812,0.639
2014-01-11 11:00:00+00:00,0.00013903,0.728,0.816,0.728
2014-01-11 12:00:00+00:00,0.00013903,0.769,0.812,0.769
2014-01-11 13:00:00+00:00,0.00014044,0.763,0.8,0.763
2014-01-11 14:00:00+00:00,0.00013715,0.71,0.791,0.71
2014-01-11 15:00:00+00:00,0.0001334,0.613,0.779,0.613
2014-01-11 16:00:00+00:00,0.00012393,0.463,0.761,0.463
2014-01-11 17:00:00+00:00,0.00012017,0.248,0.739,0.248
2014-01-11 18:00:00+00:00,0.00013321,0.022,0.726,0.022
2014-01-11 19:00:00+00:00,0.00013106,0,0.732,0
2014-01-11 20:00:00+00:00,0.00012449,0,0.727,0
2014-01-11 21:00:00+00:00,0.00011558,0,0.716,0
2014-01-11 22:00:00+00:00,0.00010573,0,0.713,0
2014-01-11 23:00:00+00:00,0.00010057,0,0.72,0
2014-01-12 00:00:00+00:00,9.325E-05,0,0.715,0
2014-01-12 01:00:00+00:00,9.128E-05,0,0.706,0
2014-01-12 02:00:00+00:00,8.8E-05,0,0.694,0
2014-01-12 03:00:00+00:00,8.8E-05,0,0.674,0
2014-01-12 04:00:00+00:00,9.043E-05,0,0.657,0
2014-01-12 05:00:00+00:00,9.907E-05,0,0.655,0
2014-01-12 06:00:00+00:00,0.00010535,0,0.674,0
2014-01-12 07:00:00+00:00,0.00011867,0.03,0.695,0.03
2014-01-12 08:00:00+00:00,0.00013059,0.282,0.729,0.282
2014-01-12 09:00:00+00:00,0.00013621,0.479,0.765,0.479
2014-01-12 10:00:00+00:00,0.00013809,0.619,0.791,0.619
2014-01-12 11:00:00+00:00,0.00013903,0.705,0.808,0.705
2014-01-12 12:00:00+00:00,0.00013903,0.736,0.819,0.736
2014-01-12 13:00:00+00:00,0.00014044,0.714,0.82,0.714
2014-01-12 14:00:00+00:00,0.00013715,0.685,0.815,0.685
2014-01-12 15:00:00+00:00,0.0001334,0.571,0.809,0.571
2014-01-12 16:00:00+00:00,0.00012393,0.43,0.808,0.43
2014-01-12 17:00:00+00:00,0.00012017,0.222,0.811,0.222
2014-01-12 18:00:00+00:00,0.00013321,0.018,0.816,0.018
2014-01-12 19:00:00+00:00,0.00013106,0,0.82,0
2014-01-12 20:00:00+00:00,0.00012449,0,0.817,0
2014-01-12 21:00:00+00:00,0.00011558,0,0.819,0
2014-01-12 22:00:00+00:00,0.00010573,0,0.823,0
2014-01-12 23:00:00+00:00,0.00010057,0,0.831,0
2014-01-13 00:00:00+00:00,9.325E-05,0,0.833,0
2014-01-13 01:00:00+00:00,9.128E-05,0,0.834,0
2014-01-13 02:00:00+00:00,8.8E-05,0,0.822,0
2014-01-13 03:00:00+00:00,8.8E-05,0,0.796,0
2014-01-13 04:00:00+00:00,9.043E-05,0,0.764,0
2014-01-13 05:00:00+00:00,9.907E-05,0,0.737,0
2014-01-13 06:00:00+00:00,0.00010535,0,0.718,0
2014-01-13 07:00:00+00:00,0.00011867,0.036,0.71,0.036
2014-01-13 08:00:00+00:00,0.00013059,0.308,0.72,0.308
2014-01-13 09:00:00+00:00,0.00013621,0.504,0.739,0.504
2014-01-13 10:00:00+00:00,0.00013809,0.642,0.75,0.642
2014-01-13 11:00:00+00:00,0.00013903,0.731,0.752,0.731
2014-01-13 12:00:00+00:00,0.00013903,0.772,0.748,0.772
